,Count,Name,AverageWindSpeed,AverageTemp,SnowFall,Precipitation,Thunder,Smoke,MinTemp,MaxTemp
2017-03-15,197,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.41,24,0.0,0.0,0.0,0.0,16,33
2017-03-16,157,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.49,29,0.0,0.0,0.0,1.0,18,42
2017-03-17,198,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.29,38,0.0,0.03,0.0,1.0,36,50
2017-03-18,150,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.97,42,0.0,0.0,0.0,0.0,32,45
2017-03-19,116,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,41,0.0,0.0,0.0,0.0,29,53
2017-03-20,153,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.28,49,0.0,0.13,1.0,1.0,37,54
2017-03-21,157,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.3,44,0.0,0.0,0.0,0.0,33,54
2017-03-22,154,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.86,33,0.0,0.0,0.0,0.0,28,37
2017-03-23,163,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.75,37,0.0,0.02,1.0,0.0,29,50
2017-03-24,207,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15.66,58,0.0,0.0,1.0,0.0,42,82
2017-03-25,191,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.63,43,0.0,0.71,0.0,0.0,41,47
2017-03-26,115,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.61,51,0.0,0.3,0.0,1.0,47,62
2017-03-27,139,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.38,50,0.0,0.0,0.0,1.0,42,52
2017-03-28,129,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,44,0.0,0.0,0.0,0.0,36,50
2017-03-29,154,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.86,41,0.0,0.11,0.0,0.0,35,49
2017-03-30,177,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.54,43,0.0,1.84,1.0,0.0,39,45
2017-03-31,188,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.54,39,0.0,0.02,0.0,0.0,36,44
2017-04-01,183,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.82,45,0.0,0.0,0.0,0.0,34,59
2017-04-02,121,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.04,50,0.0,0.0,0.0,0.0,42,61
2017-04-03,187,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,50,0.0,0.19,0.0,0.0,46,54
2017-04-04,161,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.72,49,0.0,0.02,0.0,1.0,43,56
2017-04-05,192,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18.12,45,0.0,1.04,0.0,0.0,40,47
2017-04-06,192,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17.0,43,0.0,0.29,0.0,0.0,38,51
2017-04-07,179,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.96,44,0.0,0.0,0.0,0.0,37,54
2017-04-08,161,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.87,50,0.0,0.0,0.0,0.0,37,68
2017-04-09,133,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18.79,64,0.0,0.0,0.0,0.0,57,77
2017-04-10,178,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.87,69,0.0,0.32,1.0,0.0,41,78
2017-04-11,118,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.4,47,0.0,0.0,0.0,0.0,41,54
2017-04-12,138,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.16,48,0.0,0.0,0.0,0.0,38,59
2017-04-13,139,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.17,50,0.0,0.19,0.0,0.0,44,60
2017-04-14,182,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.4,54,0.0,0.06,0.0,0.0,47,66
2017-04-15,196,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16.11,70,0.0,0.09,1.0,0.0,61,82
2017-04-16,131,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.63,68,0.0,0.59,1.0,0.0,52,73
2017-04-17,178,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.93,59,0.0,0.0,0.0,0.0,44,69
2017-04-18,182,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.41,55,0.0,0.0,0.0,0.0,41,76
2017-04-19,130,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.62,65,0.0,0.01,1.0,0.0,45,70
2017-04-20,157,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.99,56,0.0,0.0,0.0,0.0,48,73
2017-04-21,199,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.53,50,0.0,0.0,0.0,0.0,44,53
2017-04-22,163,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,50,0.0,0.0,0.0,0.0,38,60
2017-04-23,139,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.82,54,0.0,0.0,0.0,0.0,37,72
2017-04-24,168,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.61,55,0.0,0.0,0.0,0.0,40,73
2017-04-25,185,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.08,64,0.0,0.0,0.0,0.0,52,79
2017-04-26,184,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.41,69,0.0,0.22,0.0,0.0,60,74
2017-04-27,175,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15.88,54,0.0,0.14,0.0,0.0,41,62
2017-04-28,189,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.61,48,0.0,0.0,0.0,0.0,40,60
2017-04-29,236,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18.79,45,0.0,1.95,1.0,0.0,40,46
2017-04-30,150,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.42,44,0.0,1.32,1.0,0.0,42,47
2017-05-01,206,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.76,50,0.0,0.09,0.0,0.0,45,57
2017-05-02,182,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.76,46,0.0,0.01,0.0,0.0,41,51
2017-05-03,189,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.04,48,0.0,0.0,0.0,0.0,35,56
2017-05-04,190,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.18,49,0.0,0.0,0.0,0.0,43,54
2017-05-05,206,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.42,49,0.0,0.0,0.0,0.0,41,61
2017-05-06,183,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.53,51,0.0,0.11,0.0,0.0,44,58
2017-05-07,148,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,48,0.0,0.0,0.0,0.0,36,59
2017-05-08,171,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.93,46,0.0,0.02,0.0,1.0,34,57
2017-05-09,173,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.71,48,0.0,0.13,0.0,0.0,42,61
2017-05-10,202,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.61,55,0.0,0.87,1.0,0.0,44,67
2017-05-11,208,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.17,55,0.0,0.0,0.0,0.0,49,65
2017-05-12,214,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.04,59,0.0,0.0,0.0,1.0,45,73
2017-05-13,188,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.72,62,0.0,0.0,0.0,0.0,47,82
2017-05-14,161,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.83,62,0.0,0.0,0.0,0.0,51,71
2017-05-15,186,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.95,62,0.0,0.02,1.0,0.0,50,82
2017-05-16,201,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.54,74,0.0,0.0,0.0,0.0,61,87
2017-05-17,207,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",20.13,78,0.0,0.37,1.0,1.0,62,84
2017-05-18,240,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19.01,74,0.0,0.0,1.0,0.0,48,78
2017-05-19,259,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16.11,48,0.0,0.23,0.0,0.0,43,50
2017-05-20,166,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,51,0.0,0.34,1.0,0.0,48,64
2017-05-21,135,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.75,61,0.0,0.05,1.0,0.0,51,65
2017-05-22,199,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.75,58,0.0,0.01,0.0,0.0,48,73
2017-05-23,202,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.71,61,0.0,0.33,0.0,0.0,55,62
2017-05-24,182,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.09,57,0.0,0.17,0.0,0.0,53,62
2017-05-25,171,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.72,59,0.0,0.0,0.0,0.0,52,69
2017-05-26,212,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.61,60,0.0,0.53,0.0,0.0,52,71
2017-05-27,194,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.37,62,0.0,0.0,0.0,0.0,52,78
2017-05-28,141,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.93,68,0.0,0.0,1.0,1.0,56,77
2017-05-29,150,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.63,69,0.0,0.0,0.0,0.0,55,77
2017-05-30,191,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.63,64,0.0,0.0,0.0,0.0,54,74
2017-05-31,188,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,64,0.0,0.0,0.0,0.0,52,74
2017-06-01,255,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4.7,66,0.0,0.0,0.0,0.0,51,81
2017-06-02,236,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.37,71,0.0,0.0,0.0,1.0,53,86
2017-06-03,198,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.04,73,0.0,0.0,0.0,1.0,57,84
2017-06-04,161,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,80,0.0,0.0,0.0,0.0,66,92
2017-06-05,224,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.09,70,0.0,0.0,0.0,1.0,59,75
2017-06-06,214,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.87,65,0.0,0.0,0.0,0.0,54,76
2017-06-07,213,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.05,67,0.0,0.0,0.0,0.0,56,77
2017-06-08,215,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4.25,69,0.0,0.06,1.0,1.0,53,83
2017-06-09,240,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.95,74,0.0,0.0,0.0,0.0,65,87
2017-06-10,277,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.09,76,0.0,0.0,0.0,0.0,64,90
2017-06-11,180,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.99,82,0.0,0.0,0.0,0.0,73,93
2017-06-12,231,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.63,85,0.0,0.0,0.0,0.0,73,95
2017-06-13,196,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.93,80,0.0,0.0,1.0,0.0,68,88
2017-06-14,240,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.84,77,0.0,0.59,1.0,1.0,68,92
2017-06-15,206,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.83,76,0.0,0.07,1.0,0.0,68,91
2017-06-16,223,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.29,77,0.0,0.22,1.0,0.0,67,86
2017-06-17,207,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,78,0.0,0.42,1.0,0.0,69,87
2017-06-18,178,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.65,74,0.0,0.0,0.0,0.0,69,79
2017-06-19,207,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.07,70,0.0,0.03,1.0,0.0,62,80
2017-06-20,173,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.62,67,0.0,0.0,0.0,0.0,58,80
2017-06-21,177,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.16,68,0.0,0.0,0.0,0.0,55,80
2017-06-22,188,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.54,78,0.0,0.0,0.0,0.0,68,88
2017-06-23,231,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.3,77,0.0,0.71,1.0,0.0,66,83
2017-06-24,177,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.3,70,0.0,0.02,0.0,0.0,59,75
2017-06-25,160,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.75,64,0.0,0.0,0.0,0.0,54,72
2017-06-26,195,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.3,64,0.0,0.0,0.0,0.0,54,75
2017-06-27,191,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.71,65,0.0,0.0,0.0,0.0,50,78
2017-06-28,184,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15.21,68,0.0,1.3,1.0,0.0,58,80
2017-06-29,217,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.41,74,0.0,0.02,0.0,0.0,66,81
2017-06-30,218,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.49,73,0.0,0.0,0.0,0.0,64,84
2017-07-01,223,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,75,0.0,0.0,0.0,0.0,66,82
